1 1 2 3 4 11 14 3 5
5 1 2 3 4 18 1 7 2
7 1 2 3 4 5 9 8 26
9 1 2 3 4 7 10 11 28
11 1 2 3 4 1 12 29 9
3 1 2 3 4 1 12 2 4
2 1 2 3 4 3 8 6 5
8 1 2 3 4 2 7 10 19
10 1 2 3 4 8 20 9 12
12 1 2 3 4 10 30 11 3
4 1 2 3 4 30 6 3 13
6 1 2 3 4 2 15 4 19
19 1 2 3 4 6 8 20 25
20 1 2 3 4 19 21 10 30
30 1 2 3 4 20 4 27 12
13 1 2 3 4 27 15 4 16
15 1 2 3 4 6 17 13 25
25 1 2 3 4 19 24 21 15
21 1 2 3 4 20 23 25 27
27 1 2 3 4 30 22 21 13
16 1 2 3 4 13 22 17 14
17 1 2 3 4 15 18 16 24
24 1 2 3 4 17 25 23 26
23 1 2 3 4 21 24 28 22
22 1 2 3 4 23 27 29 16
14 1 2 3 4 29 16 1 18
18 1 2 3 4 14 17 26 5
26 1 2 3 4 24 28 18 7
28 1 2 3 4 26 23 29 9
29 1 2 3 4 22 28 14 11
