    1     1     1     2
    2     0     1     2
    3     1     1     2
    4     0     1     2
    5     1     1     2
    6     0     1     2
    7     1     1     2
    8     0     1     2
    9     1     1     2
   10     0     1     2
   11     1     1     2
   12     0     1     2
   13     1     1     2
   14     0     1     2
   15     1     1     2
   16     0     1     2
   17     1     1     2
   18     0     1     2
   19     1     1     2
   20     0     1     2
   21     1     1     2
   22     0     1     2
   23     1     1     2
   24     0     1     2
   25     1     1     2
   26     0     1     2
   27     1     1     2
   28     0     1     2
   29     1     1     2
   30     0     1     2
